smiles,n_atoms,n_stereocenters,mol_id,diastereomer_id
[H:11][C:1](=[C:2]1[C@:7]([C@:3]1([H:13])[C:4](=[O:5])[O:6][H:14])([H:15])[C:8](=[O:9])[O:10][H:16])[H:12],16,2,39,1
[H:11][C:1](=[C:2]1[C@:3]([C@@:7]1([H:15])[C:8](=[O:9])[O:10][H:16])([H:13])[C:4](=[O:5])[O:6][H:14])[H:12],16,2,39,2
[H:11][C:1](=[C:2]1[C@@:3]([C@:7]1([H:15])[C:8](=[O:9])[O:10][H:16])([H:13])[C:4](=[O:5])[O:6][H:14])[H:12],16,2,39,3
[H:15][C@@:5]12[C@:6]([C:8]1([Cl:9])[Cl:10])([O:7][C:2](=[O:1])[C:3]([C:4]2([H:13])[H:14])([H:11])[H:12])[H:16],16,2,40,1
[H:15][C@:5]12[C@:6]([C:8]1([Cl:9])[Cl:10])([O:7][C:2](=[O:1])[C:3]([C:4]2([H:13])[H:14])([H:11])[H:12])[H:16],16,2,40,2
[H:15][C@@:5]12[C@@:6]([C:8]1([Cl:9])[Cl:10])([O:7][C:2](=[O:1])[C:3]([C:4]2([H:13])[H:14])([H:11])[H:12])[H:16],16,2,40,3
[H:14][C@:4]12[C@@:6]([O:5]1)([C:7]([C:1]([C:2]([C:3]2([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])([H:16])[H:17])[H:15],17,2,41,1
[H:15][C@:6]12[C@:4]([O:5]1)([C:3]([C:2]([C:1]([C:7]2([H:16])[H:17])([H:8])[H:9])([H:10])[H:11])([H:12])[H:13])[H:14],17,2,41,2
[H:17][C@:8]12[C:2](=[O:1])[N:3]([C@@:4]1([C:5]([C:6]([C:7]2([H:15])[H:16])([H:13])[H:14])([H:11])[H:12])[H:10])[H:9],17,2,42,1
[H:17][C@:8]12[C:2](=[O:1])[N:3]([C@:4]1([C:5]([C:6]([C:7]2([H:15])[H:16])([H:13])[H:14])([H:11])[H:12])[H:10])[H:9],17,2,42,2
[H:17][C@@:8]12[C:2](=[O:1])[N:3]([C@@:4]1([C:5]([C:6]([C:7]2([H:15])[H:16])([H:13])[H:14])([H:11])[H:12])[H:10])[H:9],17,2,42,3
[H:13][C:4]1=[N:3][C@@:2]([C@:7]([C@:5]1([H:14])[O:6][H:15])([H:16])[O:8][H:17])([H:12])[C:1]([H:9])([H:10])[H:11],17,3,43,1
[H:13][C:4]1=[N:3][C@:2]([C@:7]([C@:5]1([H:14])[O:6][H:15])([H:16])[O:8][H:17])([H:12])[C:1]([H:9])([H:10])[H:11],17,3,43,2
[H:13][C:4]1=[N:3][C@@:2]([C@:7]([C@@:5]1([H:14])[O:6][H:15])([H:16])[O:8][H:17])([H:12])[C:1]([H:9])([H:10])[H:11],17,3,43,3
[H:13][C:4]1=[N:3][C@:2]([C@:7]([C@@:5]1([H:14])[O:6][H:15])([H:16])[O:8][H:17])([H:12])[C:1]([H:9])([H:10])[H:11],17,3,43,4
[H:13][C:4]1=[N:3][C@@:2]([C@@:7]([C@:5]1([H:14])[O:6][H:15])([H:16])[O:8][H:17])([H:12])[C:1]([H:9])([H:10])[H:11],17,3,43,5
[H:13][C:4]1=[N:3][C@:2]([C@@:7]([C@:5]1([H:14])[O:6][H:15])([H:16])[O:8][H:17])([H:12])[C:1]([H:9])([H:10])[H:11],17,3,43,6
[H:13][C:4]1=[N:3][C@@:2]([C@@:7]([C@@:5]1([H:14])[O:6][H:15])([H:16])[O:8][H:17])([H:12])[C:1]([H:9])([H:10])[H:11],17,3,43,7
[H:14][C@:4]([C:6](=[O:7])[O:8][H:17])([C@@:2]([H:12])([C:1]([H:9])([H:10])[H:11])[O:3][H:13])[N:5]([H:15])[H:16],17,2,44,1
[H:14][C@:4]([C:6](=[O:7])[O:8][H:17])([C@:2]([H:12])([C:1]([H:9])([H:10])[H:11])[O:3][H:13])[N:5]([H:15])[H:16],17,2,44,2
[H:14][C@@:4]([C:6](=[O:7])[O:8][H:17])([C@@:2]([H:12])([C:1]([H:9])([H:10])[H:11])[O:3][H:13])[N:5]([H:15])[H:16],17,2,44,3
[H:15][C:5]1=[C:4]([O:3][C@@:2]([C@:8]([C:6]1=[O:7])([H:16])[O:9][H:17])([H:13])[C:1]([H:10])([H:11])[H:12])[H:14],17,2,45,1
[H:15][C:5]1=[C:4]([O:3][C@:2]([C@:8]([C:6]1=[O:7])([H:16])[O:9][H:17])([H:13])[C:1]([H:10])([H:11])[H:12])[H:14],17,2,45,2
[H:15][C:5]1=[C:4]([O:3][C@@:2]([C@@:8]([C:6]1=[O:7])([H:16])[O:9][H:17])([H:13])[C:1]([H:10])([H:11])[H:12])[H:14],17,2,45,3
[H:17][C@:9]12[C@:7]([O:8]1)([C@:6]3([C:1]([C:2]([C@@:3]2([O:4][O:5]3)[H:14])([H:12])[H:13])([H:10])[H:11])[H:15])[H:16],17,4,46,1
[H:17][C@:9]12[C@:7]([O:8]1)([C@@:6]3([C:1]([C:2]([C@:3]2([O:4][O:5]3)[H:14])([H:12])[H:13])([H:10])[H:11])[H:15])[H:16],17,4,46,2
[H:13][C@@:3]([C:2]([H:11])([H:12])[N:1]([H:9])[H:10])([C:5]([H:14])([H:15])[P@:6](=[O:7])([H:16])[O:8][H:17])[F:4],17,2,47,1
[H:13][C@:3]([C:2]([H:11])([H:12])[N:1]([H:9])[H:10])([C:5]([H:14])([H:15])[P@:6](=[O:7])([H:16])[O:8][H:17])[F:4],17,2,47,2
[H:13][C@@:3]([C:2]([H:11])([H:12])[N:1]([H:9])[H:10])([C:5]([H:14])([H:15])[P@@:6](=[O:7])([H:16])[O:8][H:17])[F:4],17,2,47,3
[H:17][C@:9]1([C:7](=[O:8])[N:6]([C:4](=[O:5])[N:3]([C@@:2]1([H:14])[C:1]([H:11])([H:12])[H:13])[H:15])[H:16])[Br:10],17,2,48,1
[H:17][C@:9]1([C:7](=[O:8])[N:6]([C:4](=[O:5])[N:3]([C@:2]1([H:14])[C:1]([H:11])([H:12])[H:13])[H:15])[H:16])[Br:10],17,2,48,2
[H:17][C@@:9]1([C:7](=[O:8])[N:6]([C:4](=[O:5])[N:3]([C@@:2]1([H:14])[C:1]([H:11])([H:12])[H:13])[H:15])[H:16])[Br:10],17,2,48,3
[H:16][C@@:7]1([C@:2]([S:3][C:4](=[S:5])[N:6]1[H:15])([H:14])[C:1]([H:11])([H:12])[H:13])[C:8](=[O:9])[O:10][H:17],17,2,49,1
[H:16][C@@:7]1([C@@:2]([S:3][C:4](=[S:5])[N:6]1[H:15])([H:14])[C:1]([H:11])([H:12])[H:13])[C:8](=[O:9])[O:10][H:17],17,2,49,2
[H:16][C@:7]1([C@:2]([S:3][C:4](=[S:5])[N:6]1[H:15])([H:14])[C:1]([H:11])([H:12])[H:13])[C:8](=[O:9])[O:10][H:17],17,2,49,3
[H:13][C@@:5]([C:3](=[O:4])[O:2][C:1]([H:10])([H:11])[H:12])([C@@:7]([H:14])([C:8]([H:15])([H:16])[H:17])[F:9])[Br:6],17,2,50,1
[H:13][C@:5]([C:3](=[O:4])[O:2][C:1]([H:10])([H:11])[H:12])([C@@:7]([H:14])([C:8]([H:15])([H:16])[H:17])[F:9])[Br:6],17,2,50,2
[H:13][C@@:5]([C:3](=[O:4])[O:2][C:1]([H:10])([H:11])[H:12])([C@:7]([H:14])([C:8]([H:15])([H:16])[H:17])[F:9])[Br:6],17,2,50,3
[H:8][C@:7]1([C@:2]([C:4]([C:5]([C:6]1([H:15])[H:16])([H:13])[H:14])([H:11])[H:12])([H:3])[O:1][H:10])[O:9][H:17],17,2,51,1
[H:3][C@:2]1([C@@:7]([C:6]([C:5]([C:4]1([H:11])[H:12])([H:13])[H:14])([H:15])[H:16])([H:8])[O:9][H:17])[O:1][H:10],17,2,51,2
[H:3][C@@:2]1([C@:7]([C:6]([C:5]([C:4]1([H:11])[H:12])([H:13])[H:14])([H:15])[H:16])([H:8])[O:9][H:17])[O:1][H:10],17,2,51,3
[H:13][C@@:4]([C:2](=[O:3])[N:1]([H:11])[H:12])([C@:6]([H:14])([C:8](=[O:9])[O:10][H:17])[N:7]([H:15])[H:16])[F:5],17,2,52,1
[H:13][C@:4]([C:2](=[O:3])[N:1]([H:11])[H:12])([C@:6]([H:14])([C:8](=[O:9])[O:10][H:17])[N:7]([H:15])[H:16])[F:5],17,2,52,2
[H:13][C@@:4]([C:2](=[O:3])[N:1]([H:11])[H:12])([C@@:6]([H:14])([C:8](=[O:9])[O:10][H:17])[N:7]([H:15])[H:16])[F:5],17,2,52,3
[H:13][C@:2]([C:3](=[O:4])[O:5][H:14])([C@:6]([H:15])([C:8]([H:17])([F:9])[F:10])[O:7][H:16])[N:1]([H:11])[H:12],17,2,53,1
[H:13][C@@:2]([C:3](=[O:4])[O:5][H:14])([C@:6]([H:15])([C:8]([H:17])([F:9])[F:10])[O:7][H:16])[N:1]([H:11])[H:12],17,2,53,2
[H:13][C@:2]([C:3](=[O:4])[O:5][H:14])([C@@:6]([H:15])([C:8]([H:17])([F:9])[F:10])[O:7][H:16])[N:1]([H:11])[H:12],17,2,53,3
[H:14][C:8]1=[N:7][C@:6]2([C:4](=[O:5])[N:3]([C:2](=[O:1])[N:11]([C@@:10]2([N:9]1[H:15])[H:16])[H:17])[H:12])[H:13],17,2,54,1
[H:14][C:8]1=[N:7][C@@:6]2([C:4](=[O:5])[N:3]([C:2](=[O:1])[N:11]([C@@:10]2([N:9]1[H:15])[H:16])[H:17])[H:12])[H:13],17,2,54,2
[H:14][C:8]1=[N:7][C@:6]2([C:4](=[O:5])[N:3]([C:2](=[O:1])[N:11]([C@:10]2([N:9]1[H:15])[H:16])[H:17])[H:12])[H:13],17,2,54,3
[H:11][C:1](=[C:2]1[C:3](=[O:4])[O:5][C@@:6]([C@@:9]1([H:16])[O:10][H:17])([H:13])[C:7]([H:14])([H:15])[Br:8])[H:12],17,2,55,1
[H:11][C:1](=[C:2]1[C:3](=[O:4])[O:5][C@:6]([C@@:9]1([H:16])[O:10][H:17])([H:13])[C:7]([H:14])([H:15])[Br:8])[H:12],17,2,55,2
